num,title,desc,eff
38,Religion,A zealot wishes to make a shrine of their god. They claim you will receive some of the blessings their god chooses to bestow.,"[Hanging Invitation] Pay 1 wood, 1 stone, and 4 crystal. Gain 1 of each Sigil upon completion."
39,Repair,"Half-buried in the ground, you find an old and broken porcelain doll. With some resources and TLC, you might be able to restore it to its original form.",[Hanging Invitation] Pay 1 Marble and 2 Crystal. Upon giving resources: The doll clicks gratefully. It opens its jaw to reveal a glimmering gift for you before it slowly twirls away. Gain a Quantity Sigil.
40,Tutorial,A fae incapable of bargaining begs for your assistance to fit in with its fairy friends. Perhaps a demonstration is in order.,"[Hanging Invitation] Convince a Player to Trade with you. On a successful Trade, gain 1 Sigil."
41,Ouch!,"A woodpecker manages to peck you on the forehead instead of a nearby tree. Somehow, it believes you are to blame, and threatens to peck again.",[Hanging Invitation] Give this card to another Player. Collect 10 wood cumulatively. Both gain 1 Sigil upon completion. The Player who drew the card gets 2 Resources.
42,Burglary,A shifty goblin has taught you the ways of pickpocketing. Now's the chance to use what you've learned.,"[Hanging Invitation] If someone walks adjacent to your tile, you may steal 2 Resources from them. Discard once this card has been used."
43,Worthy,"A messenger spirit will bless you with her speed that is, if you can prove you know what to do with it.","[Hanging Invitation] As long as you hold this invitation, you have +2 Speed. Travel to 6 different tiles within 2 turns, and gain 2 Sigils. Otherwise, discard."
44,Treasure,"After a short conversation with a pirate, you find yourself hunting for buried treasure. You can feel it in your vicinity...somewhere...","[Hanging Invitation] Roll a d6. On 4+, gain 2 Sigils and discard this Invitation. On 3-, you may try again next turn on a different tile."
45,Dam,"A dam breaks near a lake, causing water to rush out onto the surrounding plains. It would be wise to fix it before the flood spreads.","[Hanging Invitation] All Plains adjacent to a Lake become Floodplains. Pay 4 Wood to rebuild the dam. On completion, Gain 3 Stone, 1 Sigil, and affected Floodplains return to Plains."
46,Shadow,"Your shadow starts to writhe unnaturally, wreaking havoc in its sudden tangibility with the area. It might be best to return it to its natural form.",[Hanging Invitation] Pay 3 Crystal on a non-resource tile. Gain 1 Sigil and 1 Influence.
47,Tick-Tock,"A cuckoo clock ticks irregularly, making it impossible to tell the time. If you fixed it, there might be a prize awaiting at the right time.","[Hanging Invitation] Use 2 Marble and 2 Crystal to fix the clock. Upon completion, gain 2 sigils."
48,Knowledge,"Lodged within a stone is a rundown tome. With some additional resources, perhaps you could read what its pages wish to uncover.","[Hanging Invitation] Pay 3 Wood to repair the book. Upon completion, it imparts its knowledge unto you; gain 1 Influence."
49,Friend,"A wolf pup sniffs its way to your feet. As you walk, it weaves itself between your legs. No matter what you do, you've become inseparable.","[Cursed Invitation] For 2 turns, your Speed is halved. Go to a Farm to get a treat for your new pet. Upon completion: Gain a subject sigil and your Speed returns to normal if it isn't already."
50,Play,A forest fairy has found its way to you and wants to play a game. It won't let you go until you win.,"[Cursed Invitation] Roll a d6. 1-2: You lose SO BAD. Lose 3 Resources. 3-4: It's a tie. Discard the invitation. 5-6: You....won! Gain a quantity sigil and discard the invitation."
51,Ring,"You step into a ring of mushrooms, but the pixies take a liking to you. Pass this Curse to another player of your choice.",[Cursed Invitation] The Player who cursed you may take 1 Resource of their choice from you on their turns until completion. Pay 4 Resources while standing on a Forest tile to resolve.
52,Dinner,"You stumble into a witch's trap. Disappointed that you destroyed her means of catching dinner, she threatens to eat you unless you help her set another.",[Cursed Invitation] The witch siphons 1 Crystal from you every turn until completion. Pay 2 wood and 1 crystal at the swamp.
53,Rot,A swamp hag has unfortunately taken an interest in you. The rot of her bog sticks to your feet long after you leave.,[Cursed Invitation] Your Speed is halved until completion. Visit a Lake to cleanse yourself.
54,Restoration,A wandering naiad has seen the way you pillage the land. She wishes to return your resources to the sea.,[Cursed Invitation] Movement on any water-based tiles or buildings costs 2 Speed. Return 1 stone and 1 marble to the ocean (any edge tile) to resolve.
55,Reconciliation,"Somehow, you and another player have ended up a proverbial ""get-along shirt,"" causing your reserves to be linked.","[Cursed Invitation] You may give this curse to another Player. Your inventories are now synced. If you are the recipient, cast any Spell to discard this invitation."
56,Combat,You must prove that you are worthy of the magic you wield in a test of might. Choose your opponent and commence your battle!,[Cursed Invitation] You and another Player of your choosing roll a d6. The lower roll is now cursed and loses influence when they build Wood-foundation buildings. Pay 2 Wood in a Forest to clear.
57,Leech,"You find an odd-looking leech while you traverse the land. When you gift it a host, it's more than willing to repay the favor.","[Cursed Invitation] Give this curse to another Player. You additionally gain half of all Resources the recipient gains. Recipient, discard 1 of each Resource from your inventory to complete."
58,Roots,The rugged roots in the ground beneath lift and wrap around your ankles. You'll have to cut yourself out before the earth swallows you whole.,"[Cursed Invitation] You and a Player of your choosing lose 1 Speed per turn until completion. Collect 8 stone cumulatively, or use a Spell relating to Wood."
59,Exhaustion,"Magic builds inside you, draining your biological reserves in the process. You'll need to expel some of that energy, the sooner the better.","[Cursed Invitation] Normal terrain (1-cost) becomes difficult (2-cost), and difficult (2-cost) terrain becomes impassable. Target another Player with a Spell to resolve."
60,Vampirism,"A supicious-looking bat graze its fangs against you while you're unaware. The bite healed, but you have a sudden aversion to the sun...","[Cursed Invitation] You cannot enter any building owned by another Player without their permission. If you are adjacent to another Player, you may pass this curse to them. Complete by discarding a Sigil."
61,Puppeteer,"You find a marionette shaped like another player. It calls to you to take it, an untold power brimming beneath its stitches.",Target a Player. You may initiate any Trade that they must agree to. You can maximum gain 5 Resources from this Trade.
